seq,name
165,어려울 때는 과거를! 즐길 때는 현재를! 어떤 일을 할 때는 미래를 생각하여라.
166,짧은 인생은 시간의 허비로 인해 더욱 짧아진다.
167,나이는 시간과 함께 달려가고뜻은 세월과 함께 사라져 간다.
168,내일은 노련한 사기꾼이다\n그의 사기는 항상 그럴싸하다.
169,현재와 처절한 깨달음의 전투를 벌려라\n그러면 과거는 항상 아름다운 추억으로 미화될 것이다.
170,Now and here! 당신은 지금 무엇을 하고 있는가?
171,오랫동안 꿈을 그리는 사람은 그 꿈을 닮아간다.
172,좋은 밤을 찾다가 좋은 낮을 잃어 버리는 사람들이 많다.
173,학문의 최대의 적은 자기 마음속에 있는 유혹이다,
174,행복한 어린시절 때문에 많은 사람들이 촉망받는 인생을 망쳤다.
175,나는 폭풍이 두렵지 않다\n나의 배로 항해하는 법을 배우고 있으니까\n,
176,젊었을 때 배움을 게을리 한 사람은 과거를 상실하며 미래도 없다.
177,감히 도전해보지 못한 사람들은 아무것도 하지 못한다.
178,기쁨과 도전은 미루지 마라.
179,그 성공이 무엇이든 간에 그 성공은 튼튼해야 하며 그리고 서서히 와주는 것이 바람직하다.
180,도중에 포기하지 말라\n망설이지 말라\n최후의 성공을 거둘 때까지 밀고 나가자.
181,당장 편하자고 남의 손을 빌리면 성공의 기쁨도 영영 남의 것이 된다.
182,먼저 핀 꽃은 먼저 진다\n남보다 먼저 공을 세우려고 조급히 서둘 것이 아니다.
183,꿈을 날짜 옆에 적어 놓으면 목표가 되고 목표를 잘게 나누면 계획이 되며 그 계획을 실행에 옮기면 굼이 실현된다\n,
184,성공은 당신에게 가지 않는다\n당신이 성공에게 가는 것이다.
185,최후의 승리는 출발선의 비약이 아니라 결승점에 이르기까지의 끈기와 노력이다\n,
186,꿈을 밀고 나가는 힘은 이성이 아니라 희망이며 두뇌가 아니라 심장이다.
187,거룩하고 즐겁고 활기차게 살아라\n믿음과 열심에는 피곤과 짜증이 없다\n,
188,내가 아직 살아있는 동안에는 나로 하여금 헛되이 살지 않게 하라.
189,딸기가 딸기 맛을 지니고 있듯이 삶은 행복이란 맛을 지니고 있다.
190,독수리는 마지막 성공을 거둘 때까지 온 생명을 바쳐 노력한다.
191,사람을 강하게 만드는 것은 사람이 하는 일이 아니라 하고자 노력하는 것이다.
192,실패를 걱정하지 말고 부지런히 목표를 향하여 노력하라\n노력한 만큼 보상을 받을 것이다.
193,때가 오면 모든 것이 분명해진다\n시간은 진리의 아버지이다.
194,전력을 다해서 시간에 대항하라.
195,아무리 괴로운 시간이라도 해도 한 시간은 60분에 불과하다\n,
196,기운과 끈기는 모든 것을 이겨낸다.
197,무엇을 하든 제대로 하라\n건성으로 말고 철저히 하라\n일의 근본을 살피라\n,
198,우리가 어떤 형태로든 '될대로 되라지!'라고 할 때 마다 무슨 일이 생긴다.
199,세상은 고통으로 가득하지만 그것을 극복하는 사람들로도 가득하다.
200,멈추지 말고 한 가지 목표에 매진하라\n그것이 성공의 비결이다.
201,사람은 실패가 아니라 성공하기 위해 태어난다.
202,기회가 찾아오는 정확한 때와 장소를 알아보고 그 기회를 잡을 수 있어야 한다\n세상에 기회는 많다\n그저 손 놓고 앉아 있을 수는 없다.
203,성공한 사람보다는 가치 있는 사람이 되려 하라.
204,인생이란 누구나 한 번쯤 시도해 볼 만한 것이다.
205,오래 살기를 바라기 보다 잘 살기를 바라라.
206,독서할 때 당신은 항상 가장 좋은 친구와 함께 있다.
207,독서가 정신에 미치는 효과는 운동이 신체에 미치는 효과와 같다.
